original,transformed,Label
He explained that he had lost his keys.,"He explained, 'I lost my keys.'",Indirect to Direct Speech
She had visited Rome before.,She had not visited Rome before.,Positive to Negative
The sun sets early.,The sun does not set early.,Positive to Negative
It's not a secret anymore.,It's public knowledge now.,Negative to Positive
He confessed that he was afraid of heights.,"He confessed, 'I am afraid of heights.'",Indirect to Direct Speech
The new policy will promote public safety.,Public safety will be promoted by the new policy.,Active to Passive
"He announced, ""The flight will depart in an hour.""",He announced that the flight would depart in an hour.,Direct to Indirect Speech
"She explained, ""The internet connection is unstable.""",She explained that the internet connection was unstable.,Direct to Indirect Speech
My aunt said that she enjoyed baking cakes.,"My aunt said, 'I enjoy baking cakes.'",Indirect to Direct Speech
We should protect our historical sites.,Our historical sites should be protected by us.,Active to Passive
She doesn't like being told what to do.,She dislikes being controlled.,Negative to Positive
The light is too bright.,The light is not too bright.,Positive to Negative
Someone broke the antique clock.,The antique clock was broken.,Active to Passive
He inquired about the opening hours of the museum.,"He inquired, 'What are the opening hours of the museum?'",Indirect to Direct Speech
The severe drought affected many regions.,Many regions were affected by the severe drought.,Active to Passive
"The guard commanded, ""Halt! Who goes there?""",The guard commanded them to halt and asked who went there.,Direct to Indirect Speech
The company announced that they would launch a new product.,"The company announced, 'We will launch a new product.'",Indirect to Direct Speech
The problem has been solved.,We have solved the problem.,Passive to Active
My father built a treehouse for us.,A treehouse was built for us by my father.,Active to Passive
The sudden downpour soaked everyone.,Everyone was soaked by the sudden downpour.,Active to Passive
The car was driven by a professional driver.,A professional driver drove the car.,Passive to Active
The tour guide showed us the historical landmarks.,The historical landmarks were shown to us by the tour guide.,Active to Passive
We will meet at the cafe.,We will not meet at the cafe.,Positive to Negative
The problem will be investigated by the authorities.,The authorities will investigate the problem.,Passive to Active
She couldn't express her feelings.,She was unable to express her feelings.,Negative to Positive
She has a wonderful sense of style.,She does not have a wonderful sense of style.,Positive to Negative
The money was found in an old box.,He found the money in an old box.,Passive to Active
The widespread pollution affected many animal species.,Many animal species were affected by the widespread pollution.,Active to Passive
The cake tastes sweet.,The cake does not taste sweet.,Positive to Negative
The documents are being prepared for archiving.,The assistant is preparing the documents for archiving.,Passive to Active
They watch football.,They do not watch football.,Positive to Negative
The old laws were abolished last year.,The government abolished the old laws last year.,Passive to Active
"She wondered, ""How do birds fly?""",She wondered how birds flew.,Direct to Indirect Speech
We will meet at the park.,We will not meet at the park.,Positive to Negative
He explained that he had lost his way.,"He explained, 'I lost my way.'",Indirect to Direct Speech
The wind blew the leaves away.,The leaves were blown away by the wind.,Active to Passive
We will stay home.,We will not stay home.,Positive to Negative
"The child cried, ""I'm scared of the dark.""",The child cried that he was scared of the dark.,Direct to Indirect Speech
"My mother advised, ""You should eat your vegetables.""",My mother advised me that I should eat my vegetables.,Direct to Indirect Speech
The severe flooding caused immense damage to homes.,Immense damage to homes was caused by the severe flooding.,Active to Passive
The error has been acknowledged by the company.,The company has acknowledged the error.,Passive to Active
She's not a very good cook.,She's a poor cook.,Negative to Positive
I wouldn't want to repeat that experience.,I would prefer not to repeat that experience.,Negative to Positive
I have a good job.,I do not have a good job.,Positive to Negative
The unexpected event shocked the town.,The town was shocked by the unexpected event.,Active to Passive
The meal had been cooked on a traditional stove.,She had cooked the meal on a traditional stove.,Passive to Active
"The child complained, ""My tummy hurts.""",The child complained that his tummy hurt.,Direct to Indirect Speech
The team will offer him a lucrative deal.,A lucrative deal will be offered to him by the team.,Active to Passive
The government will implement new health policies.,New health policies will be implemented by the government.,Active to Passive
The letter was typed by the assistant.,The assistant typed the letter.,Passive to Active
The problem can be resolved with open communication.,We can resolve the problem with open communication.,Passive to Active
He writes articles for a magazine.,Articles are written by him for a magazine.,Active to Passive
They study together.,They do not study together.,Positive to Negative
It's not always about winning.,It's sometimes about more than winning.,Negative to Positive
The coach ordered his players to warm up.,"The coach ordered his players, 'Warm up!'",Indirect to Direct Speech
The details are not important.,The details are unimportant.,Negative to Positive
I am feeling refreshed.,I am not feeling refreshed.,Positive to Negative
His accomplishments have been recognized globally.,They have recognized his accomplishments globally.,Passive to Active
The outcome is not certain.,The outcome is uncertain.,Negative to Positive
He never takes criticism well.,He always reacts poorly to criticism.,Negative to Positive
"She asked, ""Could you help me with this calculation?""",She asked if I could help her with that calculation.,Direct to Indirect Speech
They complained that their room was too small.,"They complained, 'Our room is too small.'",Indirect to Direct Speech
The tailor made a new suit.,A new suit was made by the tailor.,Active to Passive
She wouldn't share her secret.,She kept her secret to herself.,Negative to Positive
"The manager instructed, ""Please submit your reports by close of business.""",The manager instructed them to submit their reports by close of business.,Direct to Indirect Speech
The report has been finalized.,We have finalized the report.,Passive to Active
"The student asked, ""May I leave the classroom early?""",The student asked if he might leave the classroom early.,Direct to Indirect Speech
It's not a fair assessment.,It's an unfair assessment.,Negative to Positive
They urged us to cooperate.,"They urged us, 'Cooperate!'",Indirect to Direct Speech
He wondered why the meeting had been canceled.,"He wondered, 'Why was the meeting canceled?'",Indirect to Direct Speech
He planted new flowers.,He did not plant new flowers.,Positive to Negative
The meal was prepared by a famous chef.,A famous chef prepared the meal.,Passive to Active
The strong winds damaged the sailing boats.,The sailing boats were damaged by the strong winds.,Active to Passive
They watch movies often.,They do not watch movies often.,Positive to Negative
The damaged equipment is being replaced.,Technicians are replacing the damaged equipment.,Passive to Active
The argument is not valid.,The argument is invalid.,Negative to Positive
The coach told his team to play hard.,"The coach told his team, 'Play hard!'",Indirect to Direct Speech
She pleaded with him to listen to her.,"She pleaded with him, 'Please listen to me!'",Indirect to Direct Speech
"He advised, ""You should wear a hat in the sun.""",He advised me that I should wear a hat in the sun.,Direct to Indirect Speech
We are going to buy a gift.,We are not going to buy a gift.,Positive to Negative
I don't object to your proposal.,I accept your proposal.,Negative to Positive
They have finished their meal.,They have not finished their meal.,Positive to Negative
New procedures are being implemented.,The company is implementing new procedures.,Passive to Active
We didn't notice the error.,We overlooked the error.,Negative to Positive
His application has been approved.,They have approved his application.,Passive to Active
We will celebrate with them.,We will not celebrate with them.,Positive to Negative
The building is being renovated by a team of builders.,A team of builders is renovating the building.,Passive to Active
They urged us to take action immediately.,"They urged us, 'Take action immediately!'",Indirect to Direct Speech
The sudden applause startled the speaker.,The speaker was startled by the sudden applause.,Active to Passive
The new software will be released next month.,The company will release the new software next month.,Passive to Active
The criminal was captured alive.,The police captured the criminal alive.,Passive to Active
She begged him to give her some more time.,"She begged him, 'Please give me some more time!'",Indirect to Direct Speech
He is reading the news.,He is not reading the news.,Positive to Negative
They complained that the chairs were uncomfortable.,"They complained, 'The chairs are uncomfortable.'",Indirect to Direct Speech
The old car had been abandoned on the side of the road.,Someone had abandoned the old car on the side of the road.,Passive to Active
She declared that she would fight for her rights.,"She declared, 'I will fight for my rights!'",Indirect to Direct Speech
The old computer was recycled.,They recycled the old computer.,Passive to Active
The new regulations will affect all businesses.,All businesses will be affected by the new regulations.,Active to Passive
The dog chased the squirrel.,The squirrel was chased by the dog.,Active to Passive
It's not a trivial matter.,It's a significant matter.,Negative to Positive
The committee might reconsider the budget cuts.,The budget cuts might be reconsidered by the committee.,Active to Passive
I don't think it's worth it.,I think it's worthless.,Negative to Positive
The criminal was interviewed by the media.,The media interviewed the criminal.,Passive to Active
"She wondered, ""Will the project ever be completed?""",She wondered if the project would ever be completed.,Direct to Indirect Speech
"My mother always says, ""Practice makes perfect.""",My mother always says that practice makes perfect.,Direct to Indirect Speech
The room is being cleaned by the staff.,The staff is cleaning the room.,Passive to Active
We didn't consult the experts.,We overlooked consulting the experts.,Negative to Positive
The valuable artifact had been stolen from the museum.,Thieves had stolen the valuable artifact from the museum.,Passive to Active
He offered to carry her shopping bags.,"He offered, 'I will carry your shopping bags.'",Indirect to Direct Speech
It's not a serious injury.,It's a minor injury.,Negative to Positive
"My neighbor commented, ""Your lawn is looking very green.""",My neighbor commented that my lawn was looking very green.,Direct to Indirect Speech
He reminded me to lock the door.,"He reminded me, 'Don't forget to lock the door.'",Indirect to Direct Speech
They had successfully implemented the new training program.,The new training program had been successfully implemented by them.,Active to Passive
His courage was admired by many.,Many admired his courage.,Passive to Active
The book has been translated into many languages.,They have translated the book into many languages.,Passive to Active
I wouldn't mind a cup of tea.,I would like a cup of tea.,Negative to Positive
The coffee is sweet.,The coffee is not sweet.,Positive to Negative
It's not a good time for me.,It's an inconvenient time for me.,Negative to Positive
"She offered, ""I can water your plants while you're away.""",She offered that she could water my plants while I was away.,Direct to Indirect Speech
He never misses a deadline.,He always meets deadlines.,Negative to Positive
I have completed twelve chapters of my novel.,Twelve chapters of my novel have been completed by me.,Active to Passive
New ideas are being explored.,They are exploring new ideas.,Passive to Active
I am reading a book.,I am not reading a book.,Positive to Negative
The truth will be revealed eventually.,Someone will reveal the truth eventually.,Passive to Active
They haven't provided enough evidence.,They have provided insufficient evidence.,Negative to Positive
We didn't expect so many guests.,We were surprised by the number of guests.,Negative to Positive
"He ordered, ""Bring me a glass of water, please.""",He ordered them to bring him a glass of water.,Direct to Indirect Speech
We are watching a documentary.,We are not watching a documentary.,Positive to Negative
They told me that they had already packed everything.,"They told me, 'We have already packed everything.'",Indirect to Direct Speech
"She pleaded, ""Give me another chance, please.""",She pleaded with them to give her another chance.,Direct to Indirect Speech
"She confided, ""I'm feeling very stressed lately.""",She confided that she was feeling very stressed lately.,Direct to Indirect Speech
They were selling fresh produce.,Fresh produce was being sold by them.,Active to Passive
"He complained, ""My internet is constantly buffering.""",He complained that his internet was constantly buffering.,Direct to Indirect Speech
You could speak to her.,You could not speak to her.,Positive to Negative
He is delivering a speech to the audience.,A speech is being delivered by him to the audience.,Active to Passive
The award has been given to a deserving student.,They have given the award to a deserving student.,Passive to Active
I wouldn't want to interfere.,I would prefer not to interfere.,Negative to Positive
The company has offered generous benefits to its employees.,Generous benefits have been offered to its employees by the company.,Active to Passive
He isn't very cooperative.,He is uncooperative.,Negative to Positive
She doesn't like spicy food.,She dislikes spicy food.,Negative to Positive
She exclaimed that the music was amazing.,"She exclaimed, 'The music is amazing!'",Indirect to Direct Speech
The explanation was not clear.,The explanation was unclear.,Negative to Positive
She admitted that she had forgotten her appointment.,"She admitted, 'I forgot my appointment.'",Indirect to Direct Speech
You should not ignore these warnings.,These warnings should not be ignored by you.,Active to Passive
We didn't acknowledge his contribution.,We overlooked his contribution.,Negative to Positive
I am buying new clothes.,I am not buying new clothes.,Positive to Negative
She begged him to give her an explanation.,"She begged him, 'Please give me an explanation!'",Indirect to Direct Speech
We are planning to hike.,We are not planning to hike.,Positive to Negative
The report had been reviewed by the legal team.,The legal team had reviewed the report.,Passive to Active
"He mused, ""Perhaps it's better to wait until next week.""",He mused that perhaps it was better to wait until the following week.,Direct to Indirect Speech
The problem is complex.,The problem is not complex.,Positive to Negative
"He declared, ""This is an outrage!""",He declared that that was an outrage.,Direct to Indirect Speech
I have a strong opinion.,I do not have a strong opinion.,Positive to Negative
The website is being monitored for traffic.,They are monitoring the website for traffic.,Passive to Active
We didn't encounter any problems.,We encountered no problems.,Negative to Positive
We should follow the map.,We should not follow the map.,Positive to Negative
You should not ignore the early warning signs.,The early warning signs should not be ignored by you.,Active to Passive
The incident concerned the international community.,The international community was concerned by the incident.,Active to Passive
They enjoy cooking.,They do not enjoy cooking.,Positive to Negative
The building is being cleaned.,The cleaners are cleaning the building.,Passive to Active
This is not what I expected.,This is different from what I expected.,Negative to Positive
"She reminded him, ""Don't forget your appointment on Friday.""",She reminded him not to forget his appointment on Friday.,Direct to Indirect Speech
The team will offer him a long-term contract.,A long-term contract will be offered to him by the team.,Active to Passive
She wouldn't share her lunch.,She kept her lunch to herself.,Negative to Positive
We didn't realize the gravity of the situation.,We underestimated the gravity of the situation.,Negative to Positive
She denied having ever seen that man.,"She denied, 'I have never seen that man.'",Indirect to Direct Speech
The email had been sent to the wrong person.,I had sent the email to the wrong person.,Passive to Active
"The flight attendant asked, ""Would you like an extra blanket?""",The flight attendant asked if I would like an extra blanket.,Direct to Indirect Speech
We will leave early.,We will not leave early.,Positive to Negative
"The man grumbled, ""I hate public transport.""",The man grumbled that he hated public transport.,Direct to Indirect Speech
"He complained, ""My allergies are acting up again.""",He complained that his allergies were acting up again.,Direct to Indirect Speech
The children had finished their game.,Their game had been finished by the children.,Active to Passive
"The doctor warned, ""You must take your medication regularly.""",The doctor warned me that I had to take my medication regularly.,Direct to Indirect Speech
She doesn't enjoy crowds.,She dislikes crowds.,Negative to Positive
"The sign stated, ""Wet Paint. Do Not Touch.""",The sign stated that the paint was wet and not to touch it.,Direct to Indirect Speech
I don't like wasting time.,I dislike wasting time.,Negative to Positive
He isn't very understanding.,He is ununderstanding.,Negative to Positive
He is teaching chemistry.,He is not teaching chemistry.,Positive to Negative
She has a beautiful smile.,She does not have a beautiful smile.,Positive to Negative
They haven't responded to the complaint.,The complaint remains unanswered.,Negative to Positive
The book has been reviewed positively.,Critics have reviewed the book positively.,Passive to Active
"He boasted, ""I'm the best chess player in town.""",He boasted that he was the best chess player in town.,Direct to Indirect Speech
The old traditions are being forgotten.,People are forgetting the old traditions.,Passive to Active
The local government organizes regular street cleaning services.,Regular street cleaning services are organized by the local government.,Active to Passive
She wondered why he looked so sad.,"She wondered, 'Why do you look so sad?'",Indirect to Direct Speech
"She asked hesitantly, ""Do you mind if I open the window?""",She asked hesitantly if I minded if she opened the window.,Direct to Indirect Speech
"She declared, ""I am going to win this race.""",She declared that she was going to win that race.,Direct to Indirect Speech
He cooked dinner for everyone.,He did not cook dinner for everyone.,Positive to Negative
She doesn't believe in coincidences.,She disbelieves in coincidences.,Negative to Positive
"He announced, ""The new policy will come into effect next month.""",He announced that the new policy would come into effect the following month.,Direct to Indirect Speech
They haven't returned the items.,The items remain unreturned.,Negative to Positive
"The judge declared, ""Justice has been served.""",The judge declared that justice had been served.,Direct to Indirect Speech
It's not a good time to invest.,It's a bad time to invest.,Negative to Positive
"The man grumbled, ""I hate waiting in line.""",The man grumbled that he hated waiting in line.,Direct to Indirect Speech
He isn't very persuasive.,He is unpersuasive.,Negative to Positive
She had finished the report.,She had not finished the report.,Positive to Negative
I wouldn't trust him with my money.,I would distrust him with my money.,Negative to Positive
He isn't very tolerant.,He is intolerant.,Negative to Positive
The children are playing indoors.,The children are not playing indoors.,Positive to Negative
New ideas are being presented at the conference.,They are presenting new ideas at the conference.,Passive to Active
The council is approving new urban development plans.,New urban development plans are being approved by the council.,Active to Passive
The problem is being investigated by a special committee.,A special committee is investigating the problem.,Passive to Active
The sudden noise startled the cat.,The cat was startled by the sudden noise.,Active to Passive
"She offered, ""I can give you a lift.""",She offered that she could give me a lift.,Direct to Indirect Speech
She asked what I was thinking about then.,"She asked, 'What are you thinking about now?'",Indirect to Direct Speech
My father built this house.,This house was built by my father.,Active to Passive
It was a beautiful day for a picnic.,It was not a beautiful day for a picnic.,Positive to Negative
The rules were changed without notice.,They changed the rules without notice.,Passive to Active
She has a good sense of humor.,She does not have a good sense of humor.,Positive to Negative
The manager should announce the decision.,The decision should be announced by the manager.,Active to Passive
The children were decorating the Christmas tree.,The Christmas tree was being decorated by the children.,Active to Passive
"She asked curiously, ""What are you reading?""",She asked curiously what I was reading.,Direct to Indirect Speech
The architect will present his design to the clients.,His design will be presented to the clients by the architect.,Active to Passive
"She reminded me, ""Don't forget your umbrella.""",She reminded me not to forget my umbrella.,Direct to Indirect Speech
She sings in a choir.,She does not sing in a choir.,Positive to Negative
He has no concern for others.,He is unconcerned for others.,Negative to Positive
The new product has been launched.,The company has launched the new product.,Passive to Active
The window was broken by the wind.,The wind broke the window.,Passive to Active
"She admitted, ""I'm a bit shy around new people.""",She admitted that she was a bit shy around new people.,Direct to Indirect Speech
They enjoy classical music.,They do not enjoy classical music.,Positive to Negative
"The judge declared, ""The defendant is found guilty.""",The judge declared that the defendant was found guilty.,Direct to Indirect Speech
"He promised, ""I will never forget your kindness.""",He promised that he would never forget my kindness.,Direct to Indirect Speech
"My neighbor commented, ""Your garden looks beautiful this year.""",My neighbor commented that my garden looked beautiful that year.,Direct to Indirect Speech
"The little girl asked, ""When is my birthday?""",The little girl asked when her birthday was.,Direct to Indirect Speech
You must be present.,You must not be present.,Positive to Negative
She doesn't participate in social events.,She avoids social events.,Negative to Positive
The field is being prepared for planting.,Farmers are preparing the field for planting.,Passive to Active
They haven't confirmed their attendance.,Their attendance is unconfirmed.,Negative to Positive
"He admitted reluctantly, ""I am not good at drawing.""",He admitted reluctantly that he was not good at drawing.,Direct to Indirect Speech
Many species are being threatened by pollution.,Pollution is threatening many species.,Passive to Active
You must be quiet.,You must not be quiet.,Positive to Negative
I like winter sports.,I do not like winter sports.,Positive to Negative
The intense cold weather forced closure of schools.,Closure of schools was forced by the intense cold weather.,Active to Passive
The new equipment is being assembled.,Workers are assembling the new equipment.,Passive to Active
He explained that he had lost his way in the dark.,"He explained, 'I lost my way in the dark.'",Indirect to Direct Speech
The government enacted new policies.,New policies were enacted by the government.,Active to Passive
She doesn't enjoy long meetings.,She dislikes long meetings.,Negative to Positive
You might see him at the party.,You might not see him at the party.,Positive to Negative
The speaker announced that he would take questions.,"The speaker announced, 'I will take questions.'",Indirect to Direct Speech
The old traditions are being preserved.,They are preserving the old traditions.,Passive to Active
He regretted that he had hurt her feelings.,"He regretted, 'I hurt her feelings.'",Indirect to Direct Speech
He regretted that he had wasted so much time.,"He regretted, 'I wasted so much time.'",Indirect to Direct Speech
The committee is reviewing all applications.,All applications are being reviewed by the committee.,Active to Passive
The house was redecorated by a professional.,A professional redecorated the house.,Passive to Active
"She reminded him, ""Don't forget your keys.""",She reminded him not to forget his keys.,Direct to Indirect Speech
You must follow the safety regulations.,The safety regulations must be followed by you.,Active to Passive
The fire destroyed the forest.,The forest was destroyed by the fire.,Active to Passive
The company has offered some employees early retirement.,Some employees have been offered early retirement by the company.,Active to Passive
The old car was driven by my grandfather.,My grandfather drove the old car.,Passive to Active
I have a vivid imagination.,I do not have a vivid imagination.,Positive to Negative
She begged him to forgive her.,"She begged him, 'Please forgive me!'",Indirect to Direct Speech
"The reporter asked, ""When will the new policy be implemented?""",The reporter asked when the new policy would be implemented.,Direct to Indirect Speech
They haven't expressed any concerns.,They have remained silent about concerns.,Negative to Positive
They had discussed the matter thoroughly.,The matter had been thoroughly discussed by them.,Active to Passive
They weren't prepared for the storm.,They were unprepared for the storm.,Negative to Positive
He is reading a fascinating novel.,He is not reading a fascinating novel.,Positive to Negative
The news surprised me greatly.,I was greatly surprised by the news.,Active to Passive
I am feeling energetic.,I am not feeling energetic.,Positive to Negative
"She confirmed, ""Yes, I will be attending the conference.""",She confirmed that she would be attending the conference.,Direct to Indirect Speech
She asked him how long he had been waiting.,"She asked him, 'How long have you been waiting?'",Indirect to Direct Speech
The boss assigned him a difficult task.,A difficult task was assigned to him by the boss.,Active to Passive
The truth had been revealed in court.,They had revealed the truth in court.,Passive to Active
The package has been tracked.,We have tracked the package.,Passive to Active
We are learning about space.,We are not learning about space.,Positive to Negative
"She exclaimed, ""What a stroke of luck!""",She exclaimed that it was a stroke of luck.,Direct to Indirect Speech
The guests are being seated.,The ushers are seating the guests.,Passive to Active
Someone needs to fix this broken pipe.,This broken pipe needs to be fixed.,Active to Passive
"The receptionist said, ""Your appointment is scheduled for next Tuesday.""",The receptionist said that my appointment was scheduled for the following Tuesday.,Direct to Indirect Speech
She couldn't keep her promise.,She broke her promise.,Negative to Positive
The old records were disposed of properly.,They disposed of the old records properly.,Passive to Active
The water is cold.,The water is not cold.,Positive to Negative
The bridge was built in the 19th century.,They built the bridge in the 19th century.,Passive to Active
The team will offer him a long-term commitment.,A long-term commitment will be offered to him by the team.,Active to Passive
The car is being washed by my brother.,My brother is washing the car.,Passive to Active
The plan is not practical.,The plan is impractical.,Negative to Positive
Many reforms are being discussed by the committee.,The committee is discussing many reforms.,Passive to Active
The scientist explained that water boils at 100 degrees Celsius.,"The scientist explained, 'Water boils at 100 degrees Celsius.'",Indirect to Direct Speech
We should be kind.,We should not be kind.,Positive to Negative
The students are reviewing the course syllabus.,The course syllabus is being reviewed by the students.,Active to Passive
We are getting married next year.,We are not getting married next year.,Positive to Negative
The town was evacuated due to the hurricane.,The authorities evacuated the town due to the hurricane.,Passive to Active
We didn't reach a consensus.,We failed to reach a consensus.,Negative to Positive
You should apologize for your mistake.,You should not apologize for your mistake.,Positive to Negative
The patient has been discharged from the hospital.,The hospital has discharged the patient.,Passive to Active
The house is old.,The house is not old.,Positive to Negative
The little boy whispered that he wanted a puppy.,"The little boy whispered, 'I want a puppy.'",Indirect to Direct Speech
The plants are being cultivated by the gardener.,The gardener is cultivating the plants.,Passive to Active
"He wondered, ""Will artificial intelligence take over the world?""",He wondered if artificial intelligence would take over the world.,Direct to Indirect Speech
"She whispered, ""Don't make a sound.""",She whispered not to make a sound.,Direct to Indirect Speech
The bird sang a beautiful song.,The bird did not sing a beautiful song.,Positive to Negative
I feel tired today.,I do not feel tired today.,Positive to Negative
I am learning a new language.,I am not learning a new language.,Positive to Negative
I asked him if he wanted to go for a run.,"I asked him, 'Do you want to go for a run?'",Indirect to Direct Speech
The company offers its employees competitive salaries.,Competitive salaries are offered to its employees by the company.,Active to Passive
The window was left open by someone.,Someone left the window open.,Passive to Active
She exclaimed that the view from the mountain was breathtaking.,"She exclaimed, 'The view from the mountain is breathtaking!'",Indirect to Direct Speech
The house is being sold by a real estate agent.,A real estate agent is selling the house.,Passive to Active
"He complained, ""My back aches all the time.""",He complained that his back ached all the time.,Direct to Indirect Speech
They haven't made up their minds.,Their minds are undecided.,Negative to Positive
My order has not been processed yet.,They have not processed my order yet.,Passive to Active
The guide showed them the hidden waterfall.,The hidden waterfall was shown to them by the guide.,Active to Passive
The company promises excellent service to its customers.,Excellent service is promised to its customers by the company.,Active to Passive
The philosopher explained that happiness is a state of mind.,"The philosopher explained, 'Happiness is a state of mind.'",Indirect to Direct Speech
They ate dinner at a restaurant.,They did not eat dinner at a restaurant.,Positive to Negative
The goal was scored by the captain.,The captain scored the goal.,Passive to Active
They live in a noisy apartment.,They do not live in a noisy apartment.,Positive to Negative
The experiment was repeated several times.,They repeated the experiment several times.,Passive to Active
"She admitted, ""I'm a little bit of a perfectionist.""",She admitted that she was a little bit of a perfectionist.,Direct to Indirect Speech
The concert is being promoted aggressively.,The organizers are promoting the concert aggressively.,Passive to Active
He isn't capable of such cruelty.,He is incapable of such cruelty.,Negative to Positive
She wouldn't listen to reason.,She refused to listen to reason.,Negative to Positive
"The coach encouraged, ""You can do it! Give it your all!""","The coach encouraged them, telling them they could do it and to give it their all.",Direct to Indirect Speech
The budget is being approved by the board.,The board is approving the budget.,Passive to Active
The machine works perfectly.,The machine does not work perfectly.,Positive to Negative
The food is being prepared for the guests.,The caterers are preparing the food for the guests.,Passive to Active
"He promised, ""I will always support you.""",He promised that he would always support me.,Direct to Indirect Speech
My coach taught me discipline and perseverance.,Discipline and perseverance were taught to me by my coach.,Active to Passive
The proposal will be approved by the committee.,The committee will approve the proposal.,Passive to Active
"He asserted, ""My decision is final and irreversible.""",He asserted that his decision was final and irreversible.,Direct to Indirect Speech
"She wondered, ""Will they ever find the lost treasure?""",She wondered if they would ever find the lost treasure.,Direct to Indirect Speech
The light bulb works.,The light bulb does not work.,Positive to Negative
"He wondered, ""Who invented the light bulb?""",He wondered who had invented the light bulb.,Direct to Indirect Speech
She admitted that she was responsible for the error.,"She admitted, 'I am responsible for the error.'",Indirect to Direct Speech
The error had been detected earlier.,They had detected the error earlier.,Passive to Active
We didn't find the treasure.,We failed to find the treasure.,Negative to Positive
The organization offers vocational training to young adults.,Vocational training is offered to young adults by the organization.,Active to Passive
The crowd cheered that their hero was back.,"The crowd cheered, 'Our hero is back!'",Indirect to Direct Speech
The ancient city was buried by volcanic ash.,Volcanic ash buried the ancient city.,Passive to Active
The car was being driven by a young woman.,A young woman was driving the car.,Passive to Active
The beautiful landscape inspired the artist.,The artist was inspired by the beautiful landscape.,Active to Passive
The tea is hot.,The tea is not hot.,Positive to Negative
The computer made a strange noise.,The computer did not make a strange noise.,Positive to Negative
He regretted that he had not visited his grandparents more often.,"He regretted, 'I did not visit my grandparents more often.'",Indirect to Direct Speech
Someone has moved the furniture.,The furniture has been moved.,Active to Passive
The patient was informed of the risks.,The doctor informed the patient of the risks.,Passive to Active
Someone has eaten all the pie.,All the pie has been eaten.,Active to Passive
The email was sent a few minutes ago.,I sent the email a few minutes ago.,Passive to Active
"She boasted, ""I've never failed an exam.""",She boasted that she had never failed an exam.,Direct to Indirect Speech
We didn't consider that option.,We disregarded that option.,Negative to Positive
He didn't mean to offend you.,He unintentionally offended you.,Negative to Positive
She had cooked a special dish.,A special dish had been cooked by her.,Active to Passive
The customer requested the waiter to bring the bill.,"The customer requested the waiter, 'Please bring the bill.'",Indirect to Direct Speech
"He boasted, ""I scored the winning goal.""",He boasted that he had scored the winning goal.,Direct to Indirect Speech
The weather is warm.,The weather is not warm.,Positive to Negative
The car isn't running properly.,The car is malfunctioning.,Negative to Positive
They proposed that they go hiking that weekend.,"They proposed, 'Let's go hiking this weekend.'",Indirect to Direct Speech
"He suggested, ""Let's review the plan one more time.""",He suggested that they review the plan one more time.,Direct to Indirect Speech
"The old man reminisced, ""I remember when this street was just a dirt path.""",The old man reminisced that he remembered when that street had been just a dirt path.,Direct to Indirect Speech
"She exclaimed, ""This is the best day ever!""",She exclaimed that that was the best day ever.,Direct to Indirect Speech
He never takes breaks.,He always works continuously.,Negative to Positive
He offered to help her with her bags.,"He offered, 'I will help you with your bags.'",Indirect to Direct Speech
Delicious food is prepared by the chef daily.,The chef prepares delicious food daily.,Passive to Active
The crops are being sprayed by the farmer.,The farmer is spraying the crops.,Passive to Active
She promised that she would finish the report by evening.,"She promised, 'I will finish the report by evening.'",Indirect to Direct Speech
My father built a beautiful birdhouse.,A beautiful birdhouse was built by my father.,Active to Passive
The new road is being paved.,Construction workers are paving the new road.,Passive to Active
That answer is not correct.,That answer is incorrect.,Negative to Positive
"She wondered, ""Who will win the election?""",She wondered who would win the election.,Direct to Indirect Speech
The music is soft.,The music is not soft.,Positive to Negative
They proposed that they volunteer at the animal shelter.,"They proposed, 'Let's volunteer at the animal shelter.'",Indirect to Direct Speech
The details were omitted from the report.,They omitted the details from the report.,Passive to Active
All questions have been answered.,We have answered all questions.,Passive to Active
"She exclaimed, ""What a beautiful painting!""",She exclaimed that it was a beautiful painting.,Direct to Indirect Speech
His latest novel will be published next spring.,His publisher will publish his latest novel next spring.,Passive to Active
She doesn't enjoy public speaking.,She dislikes public speaking.,Negative to Positive
"My father often said, ""Patience is a virtue.""",My father often said that patience was a virtue.,Direct to Indirect Speech
The old traditions are being studied by anthropologists.,Anthropologists are studying the old traditions.,Passive to Active
He inquired about the departure time of the train.,"He inquired, 'What is the departure time of the train?'",Indirect to Direct Speech
"He asked, ""What are your plans for the summer?""",He asked what my plans for the summer were.,Direct to Indirect Speech
The instructions are not clear.,The instructions are unclear.,Negative to Positive
She couldn't keep her focus.,She lost her focus.,Negative to Positive
The weather is not pleasant.,The weather is unpleasant.,Negative to Positive
You must obtain proper authorization for this project.,Proper authorization must be obtained for this project.,Active to Passive
The new policy will benefit rural communities.,Rural communities will be benefited by the new policy.,Active to Passive
The experiment is being conducted by students.,Students are conducting the experiment.,Passive to Active
"She instructed, ""Turn off the lights when you leave.""",She instructed us to turn off the lights when we left.,Direct to Indirect Speech
The grand prize will be given to the winner.,They will give the grand prize to the winner.,Passive to Active
"She explained, ""The delay was caused by a technical glitch.""",She explained that the delay had been caused by a technical glitch.,Direct to Indirect Speech
She commented that the weather was lovely.,"She commented, 'The weather is lovely.'",Indirect to Direct Speech
We should be grateful.,We should not be grateful.,Positive to Negative
The weather is nice.,The weather is not nice.,Positive to Negative
